a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,10,64,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,10,64,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,10,64,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,10,64,3
0.1,4.903619520071982,0.43326121346919894,0.28231080866430863,True,2105.091552734375,4,72,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,4,72,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,4,72,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,4,72,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,4,72,3
0.1,4.795259637199258,0.4304292096749139,0.28231080866430863,True,2023.463623046875,6,72,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,6,72,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,6,72,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,6,72,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,6,72,3
0.1,4.757784575914212,0.44066198614450997,0.28231080866430863,True,1999.7030029296875,8,72,0
